"2024-03-04_12:14:31","0.0286","0.0423"
"2024-03-04_12:14:32","0.0042","0.0169"
"2024-03-04_12:14:33","0.0093","0.0224"
"2024-03-04_12:14:34","0.0108","0.0239"
"2024-03-04_12:14:35","0.0081","0.0227"
"2024-03-04_12:14:37","0.0158","0.0511"
"2024-03-04_12:14:38","0.0189","0.0466"
"2024-03-04_12:14:39","0.0121","0.0317"
"2024-03-04_12:14:40","0.0062","0.0097"
"2024-03-04_12:14:41","0.0181","0.0061"
"2024-03-04_12:14:42","0.0026","0.0100"
"2024-03-04_12:14:43","0.0040","0.0021"
"2024-03-04_12:14:44","0.0110","0.0129"
"2024-03-04_12:14:45","0.0284","2.0300"
"2024-03-04_12:14:46","0.0386","1.9500"
"2024-03-04_12:14:47","0.0500","2.9000"
"2024-03-04_12:14:48","0.0444","3.0100"
"2024-03-04_12:14:49","0.0505","2.7400"
"2024-03-04_12:14:50","0.0311","1.4800"
"2024-03-04_12:14:51","0.0412","2.0100"
"2024-03-04_12:14:52","0.0390","2.2300"
"2024-03-04_12:14:53","0.0303","1.4300"
"2024-03-04_12:14:54","0.0302","1.6600"
"2024-03-04_12:14:55","0.0483","2.6300"
"2024-03-04_12:14:56","0.0239","1.2000"
"2024-03-04_12:14:57","0.0295","1.5900"
"2024-03-04_12:14:58","0.0272","1.2900"
"2024-03-04_12:14:59","0.0550","2.3400"
"2024-03-04_12:15:01","0.0336","1.6300"
"2024-03-04_12:15:02","0.0311","1.5600"
"2024-03-04_12:15:03","0.0311","1.5600"
"2024-03-04_12:15:04","0.0206","0.9812"
"2024-03-04_12:15:05","0.0261","1.2300"
"2024-03-04_12:15:06","0.0272","1.6600"
"2024-03-04_12:15:07","0.0208","0.8465"
"2024-03-04_12:15:08","0.0221","1.3200"
"2024-03-04_12:15:12","0.0305","1.8300"
"2024-03-04_12:15:14","0.0906","4.7900"
"2024-03-04_12:15:15","0.0425","2.2100"
"2024-03-04_12:15:16","0.0249","1.0194"
"2024-03-04_12:15:17","0.0382","1.8900"
